studyName,Sample Number,Species,Island,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
PAL200708,7,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,Yes,11/27/2007,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782
PAL200708,8,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,Yes,11/27/2007,46.7,15.3,219,5200,MALE,8.22673,-25.4276
PAL200708,9,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,Yes,11/27/2007,43.3,13.4,22009,4400,FEMALE,8.13643,-25.32176
PAL200708,10,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,Yes,11/27/2007,46.8,15.4,215,5150,MALE,8.1631,-25.38017
PAL200708,11,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,No,11/27/2007,40.9,13.7,214,4650,FEMALE,8.19579,-25.3933
PAL200708,12,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,No,11/27/2007,49,16.1,216,5550,MALE,8.10417,-25.50562
PAL200708,13,Gentoo penguin (Pygoscelis papua),Biscoe,N37A1,Yes,11/29/2007,45.5,13.7,214,4650,FEMALE,7.77672,-25.4168
PAL200708,14,Gentoo penguin (Pygoscelis papua),Biscoe,N37A2,Yes,11/29/2007,48.4,14.6,213,5850,MALE,7.8208,-25.48025
PAL200708,15,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,Yes,12/03/2007,45.8,14.6,210,4200,FEMALE,7.79958,-25.62618
PAL200708,16,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,Yes,12/03/2007,49.3,15.7,217,5850,MALE,8.2007137,-25.52473
PAL200708,17,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,Yes,11/27/2007,42,13.5,210,4150,FEMALE,7.63884,-25.52627
PAL200708,18,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,Yes,11/27/2007,49.2,15.2,221,6300,MALE,8.27376,-25.00169
PAL200708,19,Gentoo penguin (Pygoscelis papua),Biscoe,N40A1,Yes,11/27/2007,46.2,14.5,22009,4800,FEMALE,7.84057,-25.37899
PAL200708,20,Gentoo penguin (Pygoscelis papua),Biscoe,N40A2,Yes,11/27/2007,48.7,15.1,222,5350,MALE,7.96491,-25.39587
PAL200708,21,Gentoo penguin (Pygoscelis papua),Biscoe,N41A1,Yes,11/27/2007,50.2,14.3,218,5700,MALE,7.8962,-25.37746
PAL200708,22,Gentoo penguin (Pygoscelis papua),Biscoe,N41A2,Yes,11/27/2007,45.1,14.5,215,5000,FEMALE,7.6322,-25.46569
PAL200708,23,Gentoo penguin (Pygoscelis papua),Biscoe,N42A1,Yes,11/27/2007,46.5,14.5,213,4400,FEMALE,7.90436,-25.3947
PAL200708,24,Gentoo penguin (Pygoscelis papua),Biscoe,N42A2,Yes,11/27/2007,46.3,15.8,215,5050,MALE,7.9200971,-25.38157
PAL200708,25,Gentoo penguin (Pygoscelis papua),Biscoe,N44A1,Yes,11/29/2007,42.9,13.1,215,5000,FEMALE,7.68528,-25.39181
PAL200708,26,Gentoo penguin (Pygoscelis papua),Biscoe,N44A2,Yes,11/29/2007,46.1,15.1,215,5100,MALE,7.83733,-25.42826
PAL200708,27,Gentoo penguin (Pygoscelis papua),Biscoe,N46A1,Yes,11/29/2007,44.5,14.3,216,4100,,7.96621,-25.69327
PAL200708,28,Gentoo penguin (Pygoscelis papua),Biscoe,N46A2,Yes,11/29/2007,47.8,15,215,5650,MALE,7.92358,-25.48383
PAL200708,29,Gentoo penguin (Pygoscelis papua),Biscoe,N47A1,Yes,11/29/2007,48.2,14.3,210,4600,FEMALE,7.6887,-25.50811
PAL200708,30,Gentoo penguin (Pygoscelis papua),Biscoe,N47A2,Yes,11/29/2007,50,15.3,220,5550,MALE,8.30515,-25.19017
PAL200708,31,Gentoo penguin (Pygoscelis papua),Biscoe,N50A1,Yes,11/29/2007,47.3,15.3,222,5250,MALE,,
PAL200708,32,Gentoo penguin (Pygoscelis papua),Biscoe,N50A2,Yes,11/29/2007,42.8,14.2,22009,4700,FEMALE,7.63452,-25.46327
PAL200708,33,Gentoo penguin (Pygoscelis papua),Biscoe,N56A1,Yes,12/03/2007,45.1,14.5,22007,5050,FEMALE,7.97408,-25.53768
PAL200708,34,Gentoo penguin (Pygoscelis papua),Biscoe,N56A2,Yes,12/03/2007,59.6,17,230,6050,MALE,7.76843,-25.6821
PAL082009,35,Gentoo penguin (Pygoscelis papua),Biscoe,N2A1,Yes,11/13/2008,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405
PAL082009,36,Gentoo penguin (Pygoscelis papua),Biscoe,N2A2,Yes,11/13/2008,48.4,16.3,220,5400,MALE,8.03659,-26.86127
PAL082009,37,Gentoo penguin (Pygoscelis papua),Biscoe,N4A1,Yes,11/02/2008,42.6,13.7,213,4950,FEMALE,7.96935,-26.7200968
PAL082009,38,Gentoo penguin (Pygoscelis papua),Biscoe,N4A2,Yes,11/02/2008,44.4,17.3,219,5250,MALE,8.13746,-26.7920093
PAL082009,39,Gentoo penguin (Pygoscelis papua),Biscoe,N5A1,Yes,11/09/2008,44,13.6,208,4350,FEMALE,8.01979,-26.68311
PAL082009,40,Gentoo penguin (Pygoscelis papua),Biscoe,N5A2,Yes,11/09/2008,48.7,15.7,208,5350,MALE,8.14776,-26.84506
PAL082009,41,Gentoo penguin (Pygoscelis papua),Biscoe,N6A1,No,11/04/2008,42.7,13.7,208,3950,FEMALE,8.14567,-26.59467
PAL082009,42,Gentoo penguin (Pygoscelis papua),Biscoe,N6A2,No,11/04/2008,49.6,16,225,5700,MALE,8.38324,-26.84272
PAL082009,43,Gentoo penguin (Pygoscelis papua),Biscoe,N7A1,Yes,11/04/2008,45.3,13.7,210,4300,FEMALE,8.37615,-26.72791
PAL082009,44,Gentoo penguin (Pygoscelis papua),Biscoe,N7A2,Yes,11/04/2008,49.6,15,216,4750,MALE,8.26548,-26.7699
PAL082009,45,Gentoo penguin (Pygoscelis papua),Biscoe,N8A1,Yes,11/03/2008,50.5,15.9,222,5550,MALE,8.46894,-26.60436
PAL082009,46,Gentoo penguin (Pygoscelis papua),Biscoe,N8A2,Yes,11/03/2008,43.6,13.9,217,4900,FEMALE,8.27141,-26.7765
PAL082009,47,Gentoo penguin (Pygoscelis papua),Biscoe,N11A1,No,11/09/2008,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788
PAL082009,48,Gentoo penguin (Pygoscelis papua),Biscoe,N11A2,No,11/09/2008,50.5,15.9,225,5400,MALE,8.65803,-26.57585
PAL082009,49,Gentoo penguin (Pygoscelis papua),Biscoe,N12A1,Yes,11/02/2008,44.9,13.3,213,5100,FEMALE,8.45167,-26.89644
PAL082009,50,Gentoo penguin (Pygoscelis papua),Biscoe,N12A2,Yes,11/02/2008,45.2,15.8,215,5300,MALE,8.55868,-26.67799
PAL082009,51,Gentoo penguin (Pygoscelis papua),Biscoe,N13A1,Yes,11/04/2008,46.6,14.2,210,4850,FEMALE,8.38289,-26.86352
PAL082009,52,Gentoo penguin (Pygoscelis papua),Biscoe,N13A2,Yes,11/04/2008,48.5,14.1,220,5300,MALE,8.39867,-26.79358
PAL082009,53,Gentoo penguin (Pygoscelis papua),Biscoe,N14A1,Yes,11/04/2008,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854
PAL082009,54,Gentoo penguin (Pygoscelis papua),Biscoe,N14A2,Yes,11/04/2008,50.1,15,225,5000,MALE,8.50153,-26.61414
PAL082009,55,Gentoo penguin (Pygoscelis papua),Biscoe,N15A1,Yes,11/04/2008,46.5,14.4,217,4900,FEMALE,8.48789,-26.83006
PAL082009,56,Gentoo penguin (Pygoscelis papua),Biscoe,N15A2,Yes,11/04/2008,45,15.4,220,5050,MALE,8.63488,-26.75621
PAL082009,57,Gentoo penguin (Pygoscelis papua),Biscoe,N16A1,Yes,11/03/2008,43.8,13.9,208,4300,FEMALE,8.58319,-26.84415
PAL082009,58,Gentoo penguin (Pygoscelis papua),Biscoe,N16A2,Yes,11/03/2008,45.5,15,220,5000,MALE,8.63604,-26.7489
PAL082009,59,Gentoo penguin (Pygoscelis papua),Biscoe,N17A1,Yes,11/06/2008,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485
PAL082009,60,Gentoo penguin (Pygoscelis papua),Biscoe,N17A2,Yes,11/06/2008,50.4,15.3,224,5550,MALE,8.74647,-26.79846
PAL082009,61,Gentoo penguin (Pygoscelis papua),Biscoe,N18A1,Yes,11/03/2008,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053
PAL082009,62,Gentoo penguin (Pygoscelis papua),Biscoe,N18A2,Yes,11/03/2008,46.2,14.9,221,5300,MALE,8.6020092,-26.84374
PAL082009,63,Gentoo penguin (Pygoscelis papua),Biscoe,N19A1,Yes,11/13/2008,45.7,13.9,214,4400,FEMALE,8.6287,-26.60484
PAL082009,64,Gentoo penguin (Pygoscelis papua),Biscoe,N19A2,Yes,11/13/2008,54.3,15.7,231,5650,MALE,8.49662,-26.84166
PAL082009,65,Gentoo penguin (Pygoscelis papua),Biscoe,N20A1,Yes,11/04/2008,45.8,14.2,219,4700,FEMALE,8.60447,-26.61601
PAL082009,66,Gentoo penguin (Pygoscelis papua),Biscoe,N20A2,Yes,11/04/2008,49.8,16.8,230,5700,MALE,8.47067,-26.69166
PAL082009,67,Gentoo penguin (Pygoscelis papua),Biscoe,N51A1,Yes,11/09/2008,46.2,14.4,214,4650,,8.24253,-26.8154
PAL082009,68,Gentoo penguin (Pygoscelis papua),Biscoe,N51A2,Yes,11/09/2008,49.5,16.2,229,5800,MALE,8.49854,-26.7482009
PAL082009,69,Gentoo penguin (Pygoscelis papua),Biscoe,N53A1,Yes,11/13/2008,43.5,14.2,220,4700,FEMALE,8.64931,-26.68867
PAL082009,70,Gentoo penguin (Pygoscelis papua),Biscoe,N53A2,Yes,11/13/2008,50.7,15,223,5550,MALE,8.63551,-26.74249
PAL082009,71,Gentoo penguin (Pygoscelis papua),Biscoe,N54A1,Yes,11/03/2008,47.7,15,216,4750,FEMALE,8.53018,-26.72751
PAL082009,72,Gentoo penguin (Pygoscelis papua),Biscoe,N54A2,Yes,11/03/2008,46.4,15.6,221,5000,MALE,8.3520078,-26.7200783
PAL082009,73,Gentoo penguin (Pygoscelis papua),Biscoe,N55A1,Yes,11/09/2008,48.2,15.6,221,5100,MALE,8.24651,-26.66958
PAL082009,74,Gentoo penguin (Pygoscelis papua),Biscoe,N55A2,Yes,11/09/2008,46.5,14.8,217,5200,FEMALE,8.58487,-26.5929
PAL082009,75,Gentoo penguin (Pygoscelis papua),Biscoe,N56A1,Yes,11/06/2008,46.4,15,216,4700,FEMALE,8.47938,-26.9547
PAL082009,76,Gentoo penguin (Pygoscelis papua),Biscoe,N56A2,Yes,11/06/2008,48.6,16,230,5800,MALE,8.5964,-26.71199
PAL082009,77,Gentoo penguin (Pygoscelis papua),Biscoe,N58A1,Yes,11/06/2008,47.5,14.2,22009,4600,FEMALE,8.39299,-26.78733
PAL082009,78,Gentoo penguin (Pygoscelis papua),Biscoe,N58A2,Yes,11/06/2008,51.1,16.3,220,6000,MALE,8.40327,-26.76821
PAL082009,79,Gentoo penguin (Pygoscelis papua),Biscoe,N60A1,Yes,11/2009/2008,45.2,13.8,215,4750,FEMALE,8.24694,-26.65359
PAL082009,80,Gentoo penguin (Pygoscelis papua),Biscoe,N60A2,Yes,11/2009/2008,45.2,16.4,223,5950,MALE,8.19749,-26.65931
PAL200910,81,Gentoo penguin (Pygoscelis papua),Biscoe,N1A1,Yes,11/18/2009,49.1,14.5,212,4625,FEMALE,8.35802,-26.2766
PAL200910,82,Gentoo penguin (Pygoscelis papua),Biscoe,N1A2,Yes,11/18/2009,52.5,15.6,221,5450,MALE,8.28601,-26.27573
PAL200910,83,Gentoo penguin (Pygoscelis papua),Biscoe,N6A1,Yes,11/15/2009,47.4,14.6,212,4725,FEMALE,8.19101,-26.24369
PAL200910,84,Gentoo penguin (Pygoscelis papua),Biscoe,N6A2,Yes,11/15/2009,50,15.9,224,5350,MALE,8.20042,-26.39677
PAL200910,85,Gentoo penguin (Pygoscelis papua),Biscoe,N8A1,Yes,11/22/2009,44.9,13.8,212,4750,FEMALE,8.11238,-26.20372
PAL200910,86,Gentoo penguin (Pygoscelis papua),Biscoe,N8A2,Yes,11/22/2009,50.8,17.3,228,5600,MALE,8.27428,-26.30019
PAL200910,87,Gentoo penguin (Pygoscelis papua),Biscoe,N13A1,Yes,11/20/2009,43.4,14.4,218,4600,FEMALE,8.23468,-26.18599
PAL200910,88,Gentoo penguin (Pygoscelis papua),Biscoe,N13A2,Yes,11/20/2009,51.3,14.2,218,5300,MALE,8.15426,-26.3433
PAL200910,89,Gentoo penguin (Pygoscelis papua),Biscoe,N14A1,Yes,11/25/2009,47.5,14,212,4875,FEMALE,8.12691,-26.23613
PAL200910,90,Gentoo penguin (Pygoscelis papua),Biscoe,N14A2,Yes,11/25/2009,52.1,17,230,5550,MALE,8.27595,-26.11657
PAL200910,91,Gentoo penguin (Pygoscelis papua),Biscoe,N15A1,Yes,11/25/2009,47.5,15,218,4950,FEMALE,8.29671,-26.08547
PAL200910,92,Gentoo penguin (Pygoscelis papua),Biscoe,N15A2,Yes,11/25/2009,52.2,17.1,228,5400,MALE,8.36701,-25.89834
PAL200910,93,Gentoo penguin (Pygoscelis papua),Biscoe,N18A1,Yes,12/01/2009,45.5,14.5,212,4750,FEMALE,8.15566,-26.22848
PAL200910,94,Gentoo penguin (Pygoscelis papua),Biscoe,N18A2,Yes,12/01/2009,49.5,16.1,224,5650,MALE,8.83352,-25.69195
PAL200910,95,Gentoo penguin (Pygoscelis papua),Biscoe,N19A1,Yes,11/27/2009,44.5,14.7,214,4850,FEMALE,8.20106,-26.16524
PAL200910,96,Gentoo penguin (Pygoscelis papua),Biscoe,N19A2,Yes,11/27/2009,50.8,15.7,226,5200,MALE,8.27102,-26.11244
PAL200910,97,Gentoo penguin (Pygoscelis papua),Biscoe,N20A1,Yes,11/18/2009,49.4,15.8,216,4925,MALE,8.03624,-26.06594
PAL200910,98,Gentoo penguin (Pygoscelis papua),Biscoe,N20A2,Yes,11/18/2009,46.9,14.6,222,4875,FEMALE,7.8881,-26.04726
PAL200910,99,Gentoo penguin (Pygoscelis papua),Biscoe,N21A1,Yes,11/18/2009,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971
PAL200910,100,Gentoo penguin (Pygoscelis papua),Biscoe,N21A2,Yes,11/18/2009,51.1,16.5,225,5250,MALE,8.2066,-26.36863
PAL200910,101,Gentoo penguin (Pygoscelis papua),Biscoe,N22A1,Yes,11/22/2009,48.5,15,219,4850,FEMALE,8.10231,-26.18763
PAL200910,102,Gentoo penguin (Pygoscelis papua),Biscoe,N22A2,Yes,11/22/2009,55.9,17,228,5600,MALE,8.3118,-26.35425
PAL200910,103,Gentoo penguin (Pygoscelis papua),Biscoe,N23A1,Yes,11/18/2009,47.2,15.5,215,4975,FEMALE,8.30817,-26.21651
PAL200910,104,Gentoo penguin (Pygoscelis papua),Biscoe,N23A2,Yes,11/18/2009,49.1,15,228,5500,MALE,8.65914,-25.79203
PAL200910,105,Gentoo penguin (Pygoscelis papua),Biscoe,N24A1,Yes,12/01/2009,47.3,13.8,216,4725,,8.25818,-26.23886
PAL200910,106,Gentoo penguin (Pygoscelis papua),Biscoe,N24A2,Yes,12/01/2009,46.8,16.1,215,5500,MALE,8.32359,-26.05756
PAL200910,107,Gentoo penguin (Pygoscelis papua),Biscoe,N28A1,Yes,11/10/2009,41.7,14.7,210,4700,FEMALE,8.12311,-26.44815
PAL200910,108,Gentoo penguin (Pygoscelis papua),Biscoe,N28A2,Yes,11/10/2009,53.4,15.8,219,5500,MALE,8.41017,-26.33867
PAL200910,109,Gentoo penguin (Pygoscelis papua),Biscoe,N29A1,Yes,11/09/2009,43.3,14,208,4575,FEMALE,8.422007,-26.3820092
PAL200910,110,Gentoo penguin (Pygoscelis papua),Biscoe,N29A2,Yes,11/09/2009,48.1,15.1,22009,5500,MALE,8.45738,-26.22664
PAL200910,111,Gentoo penguin (Pygoscelis papua),Biscoe,N32A1,Yes,11/20/2009,50.5,15.2,216,5000,FEMALE,8.24691,-26.18466
PAL200910,112,Gentoo penguin (Pygoscelis papua),Biscoe,N32A2,Yes,11/20/2009,49.8,15.9,229,5950,MALE,8.29226,-26.21019
PAL200910,113,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,Yes,11/27/2009,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046
PAL200910,114,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,Yes,11/27/2009,51.5,16.3,230,5500,MALE,8.78557,-25.76147
PAL200910,115,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,Yes,11/25/2009,46.2,14.1,217,4375,FEMALE,8.30231,-25.96013
PAL200910,116,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,Yes,11/25/2009,55.1,16,230,5850,MALE,8.08354,-26.18161
PAL200910,117,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,Yes,12/01/2009,44.5,15.7,217,4875,.,8.04111,-26.18444
PAL200910,118,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,Yes,12/01/2009,48.8,16.2,222,6000,MALE,8.33825,-25.88547
PAL200910,119,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,No,12/01/2009,47.2,13.7,214,4925,FEMALE,7.99184,-26.20538
PAL200910,120,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,No,12/01/2009,,,,,,,
PAL200910,121,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,Yes,11/22/2009,46.8,14.3,215,4850,FEMALE,8.41151,-26.13832
PAL200910,122,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,Yes,11/22/2009,50.4,15.7,222,5750,MALE,8.30166,-26.04117
PAL200910,123,Gentoo penguin (Pygoscelis papua),Biscoe,N43A1,Yes,11/22/2009,45.2,14.8,212,5200,FEMALE,8.24246,-26.11969
PAL200910,124,Gentoo penguin (Pygoscelis papua),Biscoe,N43A2,Yes,11/22/2009,49.9,16.1,213,5400,MALE,8.3639,-26.15531
